VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
KNDCE3LG3K,Thurston,Olympia,WA,98502,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,22,312765582,POINT (-122.92145 47.045935),PUGET SOUND ENERGY INC,53067011100
5YJXCBE22J,King,Seattle,WA,98101,2018,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,43,474870861,POINT (-122.335345 47.61079),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033008102
5YJ3E1EA2J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,336812472,POINT (-122.299965 47.94171),PUGET SOUND ENERGY INC,53061041301
5YJ3E1EB3K,King,Seattle,WA,98109,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,36,212077288,POINT (-122.34848 47.632405),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033007203
1N4BZ0CP3G,Snohomish,Everett,WA,98208,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,44,121454259,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061052010
1FADP5CU1D,Skagit,Anacortes,WA,98221,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,10,176052712,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940302
5YJ3E1EBXK,Kitsap,Bremerton,WA,98311,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,23,477477969,POINT (-122.6466274 47.6341188),PUGET SOUND ENERGY INC,53035091701
3C3CFFGE1D,Snohomish,Edmonds,WA,98026,2013,FIAT,500,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,87,0,21,203403784,POINT (-122.335685 47.80372),PUGET SOUND ENERGY INC,53061050101
1N4AZ1CP0L,Snohomish,Snohomish,WA,98296,2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,1,132843623,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052112
JTMEB3FV0R,Spokane,Spokane,WA,99203,2024,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,6,259789841,POINT (-117.425265 47.635365),MODERN ELECTRIC WATER COMPANY,53063004400
5YJ3E1EB5J,Snohomish,Edmonds,WA,98020,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,226146322,POINT (-122.37507 47.80807),PUGET SOUND ENERGY INC,53061050403
5YJ3E1EA0K,Island,Oak Harbor,WA,98277,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,10,180468144,POINT (-122.6788673 48.2897314),PUGET SOUND ENERGY INC,53029970500
5YJ3E1EB8K,Snohomish,Snohomish,WA,98296,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,44,280295410,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052121
1N4AZ0CP3F,Skagit,Anacortes,WA,98221,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,40,234250684,POINT (-122.615305 48.501275),PUGET SOUND ENERGY INC,53057940301
1G1FW6S06H,Thurston,Rochester,WA,98579,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,20,186133,POINT (-123.09575 46.82114),PUGET SOUND ENERGY INC,53067012730
5YJ3E1EB1J,Walla Walla,Walla Walla,WA,99362,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,16,282296612,POINT (-118.34332 46.063985),PACIFICORP,53071920200
5UXTA6C00N,Snohomish,Snohomish,WA,98296,2022,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,1,180458386,POINT (-122.15134 47.8851158),PUGET SOUND ENERGY INC,53061052122
1C4RJXN68R,Snohomish,Lynnwood,WA,98037,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,32,252678051,POINT (-122.297265 47.84182),PUGET SOUND ENERGY INC,53061051702
5YJYGDEE4L,Snohomish,Everett,WA,98208,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,44,110880052,POINT (-122.2247757 47.9156409),PUGET SOUND ENERGY INC,53061041606
KNDCC3LG2K,Snohomish,Mill Creek,WA,98012,2019,KIA,NIRO,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,239,0,44,244099110,POINT (-122.1873 47.820245),PUGET SOUND ENERGY INC,53061052004
5YJYGDEE5L,Grant,Moses Lake,WA,98837,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,13,110643508,POINT (-119.2599876 47.1240154),PUD NO 2 OF GRANT COUNTY,53025011002
